,date,c13,o18
199,1722.58,-24.79,27.12
200,1722.75,-25.55,26.01
201,1722.92,-25.75,26.91
202,1723.08,-25.32,27.8
203,1723.25,-25.1,27.1
204,1723.25,-24.61,25.57
205,1723.42,-25.04,24.72
206,1723.58,-25.56,23.1
207,1723.75,-25.72,24.43
208,1723.92,-25.98,25.57
209,1724.1,-25.12,27.17
210,1724.3,-24.77,26.38
211,1724.5,-25.09,24.33
212,1724.7,-25.28,24.77
213,1724.9,-25.3,26.05
214,1725.08,-24.4,25.37
215,1725.42,-24.34,24.89
216,1725.58,-24.21,25.67
217,1725.75,-24.71,26.1
218,1725.92,-25.32,26.57
219,1726.08,-24.29,27.3
220,1726.25,-24.4,25.35
221,1726.42,-24.6,24.39
222,1726.58,-24.79,24.85
223,1726.75,-24.77,24.76
224,1726.92,-25.0,24.82
225,1727.08,-24.81,25.34
226,1727.25,-24.07,23.8
227,1727.42,-24.87,24.38
228,1727.58,-25.23,24.11
229,1727.75,-24.86,26.06
230,1727.92,-25.16,24.54
231,1728.08,-24.18,25.63
232,1728.25,-24.72,26.15
233,1728.42,-24.14,26.92
234,1728.58,-24.62,26.97
235,1728.75,-24.9,24.24
236,1728.92,-25.25,25.43
237,1729.08,-25.2,26.28
238,1729.25,-24.8,26.03
239,1729.42,-24.78,25.12
240,1729.58,-25.42,24.7
241,1729.75,-25.25,25.72
242,1729.92,-26.09,25.09
243,1730.08,-24.82,25.77
244,1730.25,-24.32,25.91
245,1730.42,-24.11,26.47
246,1730.58,-24.79,26.52
247,1730.75,-24.98,25.85
248,1730.92,-25.32,27.17
249,1731.08,-24.65,26.32
250,1731.25,-24.54,26.12
251,1731.42,-24.92,25.58
252,1731.58,-25.19,26.12
253,1731.75,-25.05,26.5
254,1731.92,-25.65,25.46
255,1732.08,-24.44,25.47
256,1732.25,-24.35,26.56
257,1732.42,-24.39,26.9
258,1732.58,-24.73,26.39
259,1732.75,-25.68,24.98
260,1732.92,-25.6,26.36
261,1733.08,-25.08,26.03
262,1733.25,-25.21,26.1
263,1733.42,-25.76,24.74
264,1733.58,-26.24,23.3
265,1733.75,-25.57,24.94
266,1733.92,-25.4,26.93
267,1734.08,-25.37,25.14
268,1734.25,-25.54,23.94
269,1734.42,-25.3,26.48
270,1734.75,-25.34,26.03
271,1734.92,-25.99,24.41
272,1735.08,-25.76,24.5
273,1735.25,-25.62,26.2
274,1735.42,-25.67,25.98
275,1735.58,-26.5,23.04
276,1735.75,-26.55,25.35
277,1735.92,-25.94,24.95
278,1736.1,-25.54,26.14
279,1736.3,-26.02,25.74
280,1736.5,-26.31,24.87
281,1736.9,-26.5,25.22
282,1737.25,-26.89,23.13
283,1737.42,-26.48,24.74
284,1737.58,-26.54,24.79
285,1737.75,-26.43,24.34
286,1737.92,-26.6,22.98
287,1738.08,-25.86,24.0
288,1738.25,-24.91,25.83
289,1738.42,-25.31,25.02
290,1738.58,-24.97,25.44
291,1738.75,-24.77,26.77
292,1738.92,-24.96,26.81
293,1739.08,-26.15,24.41
294,1739.25,-25.96,24.34
295,1739.42,-25.55,24.46
296,1739.58,-25.56,25.21
297,1739.75,-25.7,25.4
298,1739.92,-25.67,26.25
299,1740.08,-25.27,26.55
300,1740.25,-25.48,25.22
301,1740.42,-25.49,24.85
302,1740.58,-26.06,25.37
303,1740.75,-25.68,24.75
304,1740.92,-25.49,26.76
305,1741.08,-24.79,26.17
306,1741.25,-25.57,24.28
307,1741.42,-25.57,24.91
308,1741.58,-26.05,24.61
309,1741.75,-25.76,24.23
310,1741.92,-25.65,25.8
311,1742.08,-25.75,24.52
312,1742.25,-25.24,25.31
313,1742.42,-25.39,25.96
314,1742.58,-25.01,25.41
315,1742.75,-25.37,24.22
316,1742.92,-25.36,25.85
317,1743.08,-24.79,25.96
318,1743.25,-25.34,25.39
319,1743.42,-25.65,25.13
320,1743.58,-25.55,25.92
321,1743.75,-25.29,26.83
322,1743.92,-25.28,26.82
323,1744.08,-25.45,24.65
324,1744.25,-25.36,25.33
325,1744.25,-25.75,24.59
326,1744.42,-25.9,24.08
327,1744.58,-25.16,25.07
328,1744.58,-25.29,25.0
329,1744.75,-25.94,23.56
330,1744.92,-25.82,23.56
331,1744.92,-26.0,23.45
332,1745.08,-25.0,25.92
333,1745.25,-25.67,24.13
334,1745.25,-25.29,25.32
335,1745.42,-25.8,25.01
336,1745.58,-25.57,25.21
337,1745.58,-26.12,24.21
338,1745.75,-25.7,25.17
339,1745.92,-25.35,26.71
340,1745.92,-25.39,26.47
341,1746.08,-25.22,24.22
342,1746.25,-25.68,23.35
343,1746.42,-25.53,25.21
344,1746.58,-25.28,26.47
345,1746.75,-25.16,27.51
346,1746.92,-25.13,27.38
347,1747.08,-24.2,26.43
348,1747.25,-24.98,25.13
349,1747.42,-25.3,26.71
350,1747.58,-25.56,25.38
351,1747.75,-25.27,27.24
352,1747.92,-25.2,28.02
353,1748.08,-25.41,27.32
354,1748.25,-24.92,26.15
355,1748.42,-24.58,26.08
356,1748.58,-24.85,25.52
357,1748.75,-25.39,26.54
358,1748.92,-25.43,27.04
359,1749.08,-25.86,24.54
360,1749.25,-25.16,25.33
361,1749.42,-25.51,24.93
362,1749.58,-25.75,25.59
363,1749.75,-25.72,26.23
364,1749.92,-24.96,27.98
365,1750.08,-24.77,25.59
366,1750.25,-24.41,25.52
367,1750.42,-24.7,26.27
368,1750.58,-25.51,22.9
369,1750.75,-25.64,24.25
370,1750.92,-25.61,24.88
371,1751.08,-25.61,24.16
372,1751.25,-24.74,24.28
